"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","C","","","","Capacitor_THT:C_Rect_L11.5mm_W3.5mm_P10.00mm_MKT",""
"C2,C19","2","470nF-25V","","","","Capacitor_SMD:C_Elec_4x5.8",""
"C3,C13","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","4u7","","","","Capacitor_SMD:C_0805_2012Metric",""
"C6","1","100n","","","","Capacitor_SMD:C_1206_3216Metric",""
"C9,C10","2","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C11,C12","2","33nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C14","1","C","","","","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm",""
"C15,C18,C103","3","C","","","","Capacitor_SMD:C_0805_2012Metric",""
"C101","1","C_Polarized","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D1,D3","2","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D2","1","1N47xxA","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"D4","1","1N4148W","","","","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf"
"F1","1","500mA","","","","Fuse:Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin",""
"FL1","1","Choke_CommonMode_PulseElectronics_PH9455x105NL","","","","Inductor_THT:L_CommonMode_Wuerth_WE-CMB-XS","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/ph9455.105nl"
"J1","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J4,J5","2","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"K2","1","SANYOU_SRD_Form_C","","","","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"PS1","1","HLK-PM01","","","","HLK-PM01:CONV_HLK-PM01",""
"Q1","1","Q_NPN","","","","Package_TO_SOT_THT:TO-92",""
"R1","1","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"R2","1","100R-0.5W","","","","Resistor_SMD:R_1206_3216Metric",""
"R3","1","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R5,R7","2","5k1","","","","Resistor_SMD:R_0805_2012Metric",""
"R12,R20,R21","3","0.004R-1%","","","","Resistor_SMD:R_2010_5025Metric",""
"R13,R14","2","1K","","","","Resistor_SMD:R_0805_2012Metric",""
"R15,R16,R17,R18","4","470K","","","","Resistor_SMD:R_0805_2012Metric",""
"R19,R22,R23,R24,R25,R27,R28","7","1K","","","","Capacitor_SMD:C_0805_2012Metric",""
"R29,R30,R31","3","470","","","","Resistor_SMD:R_0805_2012Metric",""
"RV1","1","Varistor","","","","Varistor:RV_Disc_D7mm_W3.4mm_P5mm",""
"SW1,SW2","2","SW_SPST","","","","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"TH1","1","Thermistor_NTC","","","","Varistor:RV_Disc_D7mm_W4.8mm_P5mm",""
"U1","1","HLW8032","","","","HLW8032:SOIC127P600X144-8",""
"U2","1","ESP32-C3-WROOM-02","","","","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf"
"U3,U6,U7,U8","4","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U9","1","LM78M05_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/MC78M00-D.PDF"
"U101","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
